Year,AAPL,NVDA,TSLA
2015,100.0,100.0,100.0
2015,97.49899152884228,97.95918367346938,96.9758064516129
2015,96.40984267849939,97.95918367346938,95.96774193548386
2015,97.09560306575231,95.91836734693878,96.23655913978494
2015,100.64542154094393,97.95918367346938,95.76612903225805
2015,101.61355385235983,97.95918367346938,94.08602150537634
2015,101.04881000403388,97.95918367346938,91.59946236559139
2015,101.21016538926986,100.0,93.01075268817203
2015,99.15288422751108,97.95918367346938,87.43279569892472
2015,98.74949576442114,97.95918367346938,87.70161290322581
2015,96.53085921742638,97.95918367346938,87.16397849462365
2015,97.78136345300524,100.0,86.96236559139784
2015,99.67728922952804,100.0,89.04569892473117
2015,100.92779346510689,102.04081632653062,91.06182795698925
2015,102.05728116175878,102.04081632653062,91.19623655913978
2015,102.62202501008471,102.04081632653062,93.48118279569891
2015,100.92779346510689,100.0,93.21236559139784
2015,106.01048810004035,97.95918367346938,92.47311827956989
2015,106.93828156514724,97.95918367346938,92.27150537634408
2015,107.66438079870916,97.95918367346938,92.94354838709677
2015,106.93828156514724,95.91836734693878,94.95967741935483
2015,106.85760387252924,97.95918367346938,98.72311827956987
2015,108.1484469544171,100.0,99.26075268817203
2015,108.30980233965309,100.0,101.00806451612902
2015,108.35014118596207,102.04081632653062,100.06720430107526
2015,107.94675272287213,100.0,97.64784946236558
2015,110.0443727309399,102.04081632653062,98.79032258064515
2015,112.54538120209762,102.04081632653062,96.23655913978494
2015,114.84469544171036,110.20408163265307,90.99462365591397
2015,114.68334005647438,110.20408163265307,92.27150537634408
2015,116.09519967728923,110.20408163265307,92.13709677419355
2015,116.01452198467125,110.20408163265307,92.33870967741935
2015,116.25655506252521,110.20408163265307,95.16129032258064
2015,116.65994352561518,110.20408163265307,97.51344086021504
2015,119.80637353771681,110.20408163265307,97.78225806451613
2015,120.37111738604276,110.20408163265307,92.8763440860215
2015,118.55586930213796,110.20408163265307,92.80913978494623
2015,117.91044776119404,110.20408163265307,94.55645161290322
2015,117.62807583703106,108.16326530612245,93.41397849462365
2015,117.38604275917709,112.24489795918369,91.12903225806451
2015,116.70028237192416,110.20408163265307,89.71774193548386
2015,116.70028237192416,110.20408163265307,90.7258064516129
2015,115.97418313836224,112.24489795918369,92.40591397849461
2015,116.53892698668818,112.24489795918369,89.91935483870968
2015,116.74062121823316,112.24489795918369,87.16397849462365
2015,114.6026623638564,114.2857142857143,86.69354838709677
2015,112.38402581686164,114.2857142857143,87.9032258064516
2015,112.50504235578862,112.24489795918369,87.09677419354838
2015,112.98910851149658,112.24489795918369,85.88709677419354
2015,112.54538120209762,114.2857142857143,87.76881720430107
2015,114.68334005647438,114.2857142857143,89.04569892473117
2015,116.3775716014522,114.2857142857143,89.98655913978494
2015,116.45824929407019,114.2857142857143,91.66666666666666
2015,115.69181121419928,116.3265306122449,89.18010752688171
2015,115.16740621218233,114.2857142857143,89.8521505376344
2015,115.3287615974183,112.24489795918369,91.3306451612903
2015,114.23961274707543,110.20408163265307,88.9784946236559
2015,112.50504235578862,104.08163265306123,87.29838709677419
2015,112.34368697055264,106.12244897959185,84.81182795698923
2015,113.87656313029447,106.12244897959185,86.15591397849462
2015,113.95724082291247,106.12244897959185,86.8279569892473
2015,112.70673658733361,104.08163265306123,86.15591397849462
2015,113.11012505042355,104.08163265306123,86.55913978494624
2015,114.88503428801936,106.12244897959185,93.0779569892473
2015,115.4094392900363,108.16326530612245,91.86827956989247
2015,113.87656313029447,108.16326530612245,94.48924731182795
2015,114.03791851553045,110.20408163265307,94.22043010752687
2015,114.6026623638564,112.24489795918369,94.82526881720429
2015,115.81282775312626,112.24489795918369,95.43010752688171
2015,114.68334005647438,110.20408163265307,93.88440860215053
2015,114.5219846712384,112.24489795918369,93.88440860215053
