X,Y0,Y1,Y2
2011,10.25,0.41,1.48
2011,10.42,0.45,1.49
2011,10.61,0.45,1.53
2011,10.67,0.45,1.57
2011,10.57,0.44,1.6
2011,10.57,0.44,1.63
2011,10.54,0.43,1.91
2011,10.59,0.43,1.88
2011,10.38,0.42,1.8
2011,10.31,0.41,1.8
2011,10.36,0.41,1.8
2011,10.26,0.42,1.86
2011,10.25,0.42,1.84
2011,10.11,0.41,1.77
2011,10.05,0.4,1.68
2011,10.13,0.41,1.71
2011,10.12,0.42,1.69
2011,10.05,0.43,1.75
2011,10.01,0.42,1.71
2011,10.18,0.42,1.68
2011,10.42,0.43,1.74
2011,10.7,0.43,1.8
2011,10.66,0.44,1.78
2011,10.69,0.45,1.82
2011,10.62,0.44,1.82
2011,10.54,0.46,1.85
2011,10.66,0.47,1.86
2011,10.56,0.47,1.85
2011,10.54,0.45,1.83
2011,10.6,0.44,1.8
2011,10.57,0.43,1.83
2011,10.54,0.45,1.85
2011,10.52,0.46,1.87
2011,10.53,0.46,1.93
2011,10.54,0.46,1.89
2011,10.46,0.47,1.85
2011,10.43,0.44,1.88
2011,10.28,0.42,1.87
2011,10.13,0.4,1.8
2011,10.27,0.42,1.76
2011,10.32,0.42,1.9
2011,10.27,0.42,1.89
2011,10.12,0.42,1.84
2011,10.12,0.43,1.83
2011,10.2,0.42,1.93
2011,10.15,0.44,1.98
2011,10.17,0.45,1.98
2011,10.48,0.46,2.02
2011,10.61,0.46,2.01
2011,10.48,0.44,1.95
2011,10.4,0.44,2.1
2011,10.46,0.43,2.01
2011,10.19,0.42,1.96
2011,10.09,0.41,1.91
2011,10.05,0.4,1.87
2011,9.99,0.4,1.89
2011,9.89,0.4,1.93
2011,10.04,0.4,1.98
2011,9.95,0.39,1.9
2011,9.9,0.39,1.87
2011,9.92,0.38,1.85
2011,9.57,0.37,1.76
2011,9.82,0.37,1.85
2011,9.91,0.37,1.88
2011,9.99,0.37,1.85
2011,10.04,0.37,1.86
2011,10.06,0.36,1.89
2011,10.14,0.36,1.88
2011,10.13,0.36,1.94
2011,10.13,0.37,1.96
2011,10.35,0.37,1.97
2011,10.54,0.37,1.97
2011,10.67,0.36,1.94
2011,10.79,0.36,2.0
2011,10.85,0.36,1.99
2011,10.84,0.35,1.9
2011,10.78,0.34,1.94
2011,10.85,0.34,1.94
2011,10.89,0.34,1.93
2011,11.0,0.33,1.86
2011,11.29,0.32,1.83
2011,11.41,0.33,1.87
2011,11.94,0.33,2.03
2011,11.75,0.34,1.94
2011,11.9,0.35,1.97
2011,12.05,0.34,1.95
2011,12.19,0.34,1.92
2011,12.13,0.33,1.9
2011,11.96,0.32,1.9
2011,11.9,0.32,1.89
2011,12.04,0.33,1.93
2011,11.99,0.35,1.95
2011,11.86,0.34,1.86
2011,11.79,0.33,1.79
2011,11.55,0.32,1.69
2011,11.08,0.29,1.63
2011,11.29,0.3,1.7
2011,11.29,0.3,1.7
2011,11.31,0.31,1.72
2011,11.44,0.34,1.81
2011,11.6,0.31,1.78
2011,11.55,0.31,1.77
2011,11.58,0.3,1.78
2011,11.23,0.28,1.68
2011,11.06,0.28,1.61
2011,10.99,0.28,1.59
2011,11.26,0.3,1.54
2011,11.42,0.3,1.6
2011,11.31,0.3,1.59
2011,11.56,0.3,1.6
2011,11.79,0.31,1.66
2011,11.8,0.32,1.65
2011,11.81,0.32,1.7
2011,11.67,0.32,1.66
2011,11.39,0.3,1.6
2011,11.46,0.3,1.55
2011,11.62,0.34,1.6
2011,11.71,0.33,1.6
2011,11.63,0.33,1.57
2011,11.47,0.33,1.55
2011,11.64,0.33,1.61
2011,11.82,0.35,1.66
2011,11.86,0.36,1.66
2011,12.07,0.37,1.72
2011,12.45,0.35,1.72
2011,12.74,0.35,1.77
2011,12.7,0.35,1.8
2011,12.35,0.32,1.74
2011,12.25,0.33,1.77
2011,12.17,0.32,1.77
2011,12.33,0.33,1.8
2011,12.16,0.33,1.77
2011,12.12,0.32,1.72
2011,11.72,0.3,1.66
2011,11.53,0.29,1.67
2011,11.5,0.3,1.62
2011,11.44,0.31,1.72
2011,11.59,0.32,1.84
2011,11.38,0.33,1.84
